admin2_name,wind_weighted_present,rain_weighted_present,surge_weighted_present,avg_wind_present,avg_rain_present,avg_surge_present,is_coastal_present,n_extreme_present,wind_share_present,rain_share_present,surge_share_present,water_share_present,wind_weighted_future,rain_weighted_future,surge_weighted_future,avg_wind_future,avg_rain_future,avg_surge_future,is_coastal_future,n_extreme_future,wind_share_future,rain_share_future,surge_share_future,water_share_future,wind_share_change,water_share_change,wind_multiplier
Alachua,5.1416715917894775,0.5411616162072969,0.0,34.401593105295156,132.81731216191824,0.0,0,119,0.9047725674148268,0.09522743258517329,0.0,0.09522743258517329,5.125575189333967,0.5420103889289233,0.0,38.94170468611275,200.79317982498716,0.0,0,864,0.9043666158288431,0.09563338417115688,0.0,0.09563338417115688,-0.000405951585983666,0.0004059515859835966,0.9995513219558109
Baker,5.2594386702429885,0.5741547623479379,0.0,34.43575500248924,133.50405641640808,0.0,0,115,0.9015778578019735,0.09842214219802654,0.0,0.09842214219802654,5.102001067090255,0.5341135993607319,0.0,37.91123221993174,172.0576615241639,0.0,0,838,0.9052337237671818,0.09476627623281814,0.0,0.09476627623281814,0.0036558659652082826,-0.0036558659652084075,1.004054964231399
Bay,6.369101072586366,0.725834508192724,1.1087260786886708,30.935779859713602,105.45255153997792,0.8560752402107457,1,228,0.7763729584381205,0.08847689462607784,0.1351501469358017,0.22362704156187957,6.428796379671154,0.7533979090000749,1.1163381074803778,36.27357700368223,195.79510115044528,0.9878886865908804,1,1489,0.7746907613028622,0.09078688532317575,0.13452235337396196,0.2253092386971377,-0.001682197135258301,0.0016821971352581344,0.997833261556865
Bradford,5.168357653362876,0.5263824799173608,0.0,34.38111329662116,125.79432371198104,0.0,0,117,0.9075669007544057,0.09243309924559424,0.0,0.09243309924559424,5.094105433394632,0.5402168646895429,0.0,38.10155246676721,187.45352606594716,0.0,0,855,0.90412034737998,0.09587965262001989,0.0,0.09587965262001989,-0.003446553374425676,0.0034465533744256482,0.996202424998575
Brevard,6.504080679367272,0.7442492295952378,1.0499871302271757,33.768828894009786,130.78229344669353,0.6357904333252913,1,206,0.7837831030859702,0.08968676733853884,0.126530129575491,0.21621689691402984,6.243913063107653,0.8412489834213923,1.1514624890955707,35.701300847296096,219.2358341811012,0.6714758687880779,1,1339,0.7580669770853106,0.10213516226008193,0.1397978606546074,0.24193302291468932,-0.025716126000659645,0.02571612600065948,0.9671897417800815
Broward,6.395832855856669,0.7402715267250478,0.7125577306805728,34.758776660687786,131.24493289988175,0.22827854058920924,1,215,0.8148946614798591,0.09431818009774848,0.09078715842239243,0.1851053385201409,6.5088103893674,0.847390679824433,0.8502290717683666,40.11169053084148,256.4238867085285,0.26944466164919645,1,1396,0.7931354166875089,0.10325935458767987,0.10360522872481126,0.20686458331249113,-0.021759244792350252,0.021759244792350224,0.973298088917609
Calhoun,5.327918567332886,0.5454240975092628,0.0,34.93439782249973,130.73291304884606,0.0,0,116,0.9071356587494591,0.09286434125054094,0.0,0.09286434125054094,5.241373370965317,0.5834701133430523,0.0,39.43147026000736,227.75358079819605,0.0,0,873,0.8998307654248786,0.10016923457512136,0.0,0.10016923457512136,-0.007304893324580508,0.007304893324580425,0.9919472977893398
Charlotte,6.696382821117807,0.7312182101818199,1.1558769020041215,34.15674325476309,140.26647459301591,0.9157866790903292,1,243,0.7801479625334569,0.08518903594365934,0.1346630015228837,0.21985203746654305,6.527066658104462,0.7634314402249719,1.0077782124428896,38.02064088770668,250.91756486991594,1.0470981285352656,1,1546,0.7865569202162402,0.09199879729648568,0.1214442824872742,0.21344307978375987,0.006408957682783378,-0.006408957682783184,1.0082150540545807
Citrus,6.356781696031586,0.6905364817680754,0.935363723366747,30.821161835071287,125.1310555290798,1.4749107089305737,1,244,0.7963215589365712,0.08650432151971083,0.11717411954371804,0.20367844106342886,6.294726291833018,0.698498067293051,0.8218135433917432,36.473464803320155,225.289315673932,1.8560422222043513,1,1549,0.805463309372436,0.08937871780097345,0.10515797282659053,0.19453669062756399,0.009141750435864848,-0.009141750435864876,1.0114799735524842
Clay,5.183765368462996,0.5636595428316113,0.0,34.49807323245317,133.9927098255604,0.0,0,117,0.9019283328566973,0.0980716671433028,0.0,0.0980716671433028,5.095432155576624,0.5646490690201046,0.0,37.67935847990847,193.72360447666293,0.0,0,847,0.9002401120029272,0.09975988799707285,0.0,0.09975988799707285,-0.0016882208537700727,0.001688220853770045,0.998128209534761
Collier,6.467268833249212,0.7673257576418521,0.984521539002388,34.844265352632334,132.88608119109827,1.8981066872982986,1,241,0.7868569723363976,0.09335867087350659,0.11978435679009572,0.21314302766360232,6.503636519641702,0.8101664874773277,1.0194942569397198,38.750372109889724,242.71188516266753,2.1951346756336325,1,1539,0.7804397603445257,0.0972203992975926,0.1223398403578817,0.2195602396554743,-0.006417211991871952,0.0064172119918719794,0.9918445000584827
Columbia,5.1854508263222225,0.5395128947554411,0.0,34.16432967903089,131.35698836658685,0.0,0,115,0.9057613425969652,0.09423865740303476,0.0,0.09423865740303476,5.111847843694176,0.526157211353717,0.0,38.60825151915613,179.54132206222644,0.0,0,847,0.9066767045760927,0.09332329542390724,0.0,0.09332329542390724,0.0009153619791275602,-0.0009153619791275186,1.0010105995211753
DeSoto,5.4277727189771205,0.567739127858577,0.0,38.20069690005652,155.8474302968607,0.0,0,129,0.9053059784781816,0.09469402152181847,0.0,0.09469402152181847,5.274776492778853,0.5550552785984001,0.0,40.885100502526285,256.0461514616685,0.0,0,921,0.9047905153415307,0.0952094846584694,0.0,0.0952094846584694,-0.0005154631366509621,0.0005154631366509344,0.9994306199794268
Dixie,6.3598072400313574,0.7060871454520331,1.0612904026702512,31.620896361013315,151.228444127373,1.7900161344586785,1,227,0.7825350851258542,0.08687967160304277,0.13058524327110302,0.2174649148741458,6.389227996105411,0.7202719080825007,0.9788845228149629,37.82023206118877,262.8455925783592,2.138978150747996,1,1487,0.7899263510244553,0.0890501576158881,0.12102349135965652,0.21007364897554462,0.007391265898601063,-0.007391265898601174,1.009445283718381
Duval,6.324908739407421,0.7516155239344525,0.7718921491989323,30.971935437553064,112.52580707446064,0.5288282347808637,1,220,0.8058834301020259,0.09576651956609529,0.09835005033187885,0.19411656989797416,6.093839171443823,0.776962004704872,0.7322096237309819,34.04803033947356,165.03587659812894,0.49263512097732454,1,1440,0.8015034217155476,0.10219135881237575,0.09630521947207672,0.19849657828445247,-0.00438000838647834,0.004380008386478312,0.9945649603616694
Escambia,6.443900966029161,0.7568425140825733,1.2112545913966661,31.06114981210547,135.9222369305701,0.9414865397961207,1,232,0.7660369048175104,0.0899717888245854,0.1439913063579043,0.2339630951824897,6.343310875694837,0.7614676839221732,1.1592743408215145,34.96776441667143,232.70653805888486,1.0795497738645279,1,1506,0.7675786871304072,0.09214215991789775,0.140279152951695,0.23242131286959272,0.0015417823128968111,-0.0015417823128969776,1.0020126736756425
Flagler,6.198354135748118,0.7140603989986543,0.738642160999561,31.0553096648886,116.98795278501753,0.43978076962027524,1,218,0.8101304672326037,0.09332833716885694,0.09654119559853937,0.18986953276739632,6.240325333564773,0.7873821374329235,0.7757798417188012,34.85527119221574,190.64763907357442,0.4487601999767159,1,1424,0.7996841775337535,0.10090131576811974,0.09941450669812674,0.20031582246624646,-0.010446289698850197,0.010446289698850142,0.9871054229888001
Franklin,6.601303050573693,0.7327367136738157,1.0291845127029673,31.567317630370695,73.37748743411373,2.1855313535189342,1,244,0.7893251253308203,0.08761414131787425,0.1230607333513055,0.21067487466917975,6.41045477359047,0.798127408922107,0.9922866524541133,37.00303854563816,146.9751580659219,2.6645972559631477,1,1548,0.7816799539894735,0.09732229901288854,0.12099774699763793,0.21832004601052646,-0.00764517134134679,0.007645171341346707,0.9903142936972359
Gadsden,5.172869561620064,0.5432471612342,0.0,34.55346690420545,129.0879190797446,0.0,0,113,0.9049621994137766,0.09503780058622334,0.0,0.09503780058622334,5.139491099982303,0.5633840542849917,0.0,38.30616776851748,203.75247591952674,0.0,0,855,0.9012105229301,0.09878947706990007,0.0,0.09878947706990007,-0.0037516764836766914,0.003751676483676733,0.9958543279640775
Gilchrist,5.236456248200954,0.5524010126897738,0.0,35.02080053491046,144.01080818096054,0.0,0,119,0.9045751194416605,0.09542488055833946,0.0,0.09542488055833946,5.205573124858003,0.5742137838177824,0.0,40.67915105301194,227.96348001884854,0.0,0,869,0.9006513920165715,0.09934860798342846,0.0,0.09934860798342846,-0.003923727425088952,0.003923727425088994,0.9956623531415381
Glades,5.2862937328326645,0.5010126890025713,0.0,37.14288709678519,141.92619649255965,0.0,0,128,0.9134290371921082,0.08657096280789175,0.0,0.08657096280789175,5.16174361281866,0.5135535331008197,0.0,39.93905227018879,228.74055183769914,0.0,0,891,0.9095107234217573,0.0904892765782428,0.0,0.0904892765782428,-0.003918313770350901,0.0039183137703510396,0.9957103249285836
Gulf,6.419148407166027,0.7260596189404098,1.0713237409324727,31.11492471075673,71.11921049249177,1.0148062991609523,1,231,0.7812479266394139,0.08836570459729005,0.13038636876329618,0.21875207336058622,6.431746790012579,0.786417378171099,1.0615153757449736,37.13549615820303,142.92895968357237,1.2674706718239692,1,1494,0.7768110777583017,0.09498162024250872,0.12820730199918967,0.2231889222416984,-0.0044368488811121765,0.0044368488811121765,0.9943208183601875
Hamilton,5.153852970631963,0.526274202182995,0.0,34.48158008897868,125.69062941806156,0.0,0,115,0.9073481656006332,0.0926518343993668,0.0,0.0926518343993668,5.056338770102007,0.528051003013511,0.0,37.87131284697128,168.8771066822164,0.0,0,841,0.9054415926417485,0.09455840735825154,0.0,0.09455840735825154,-0.0019065729588847447,0.0019065729588847308,0.9978987415953802
